Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.56"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.58"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.59"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.60"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.61"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.62"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.64"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.66"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.68"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 0.0, mem = 0.8, time = "0:02.68"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.70"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.71"}
