Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.17"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.18"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.19"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.21"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.23"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.24"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.25"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.26"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.28"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.29"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.30"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.32"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.34"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.35"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.36"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.38"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.39"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.40"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.41"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.43"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.45"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.46"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.47"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.49"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.50"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.51"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.52"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.54"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.56"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.57"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.58"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.60"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.61"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.62"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.63"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.65"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.67"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.68"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.69"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.71"}
