Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.6, mem = 0.8, time = "0:02.86"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.88"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.90"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.92"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.94"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.95"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.97"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.98"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:03.00"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:03.01"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:03.02"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:03.04"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:03.06"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:03.07"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:03.09"}
