PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.37 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.39 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.40 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.41 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.43 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.45 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.46 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.48 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.49 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.50 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.52 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.53 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.54 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.56 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.57 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.59 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.61 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.62 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.63 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.65 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.66 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.67 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.69 Main
